id,name,description,equation,category,icon,variables_json,num_variables
"coulombs-law","Coulomb's Law","F=kq₁q₂/r². Solves for Force, Charge, or Distance.","F = k × q₁ × q₂ / r²","Electricity & Magnetism","Zap","[{""id"":""F"",""label"":""Force (F)"",""unit"":""N""},{""id"":""q1"",""label"":""Charge 1 (q₁)"",""unit"":""C""},{""id"":""q2"",""label"":""Charge 2 (q₂)"",""unit"":""C""},{""id"":""r"",""label"":""Distance (r)"",""unit"":""m""}]",4
"capacitor-energy","Capacitor Energy & Storage","E=½CV²=½QV=Q²/(2C). Solves for Energy, Capacitance, Voltage, or Charge.","E = ½CV² = ½QV = Q²/(2C)","Electricity & Magnetism","Zap","[{""id"":""E"",""label"":""Energy (E)"",""unit"":""J""},{""id"":""C"",""label"":""Capacitance (C)"",""unit"":""F""},{""id"":""V"",""label"":""Voltage (V)"",""unit"":""V""},{""id"":""Q"",""label"":""Charge (Q)"",""unit"":""C""}]",4
"biot-savart","Magnetic Field (Long Wire)","B=μ₀I/(2πr). Solves for B-field, Current, or Distance.","B = μ₀I / (2πr)","Electricity & Magnetism","Zap","[{""id"":""B"",""label"":""Magnetic Field (B)"",""unit"":""T""},{""id"":""I"",""label"":""Current (I)"",""unit"":""A""},{""id"":""r"",""label"":""Distance (r)"",""unit"":""m""}]",3
"ideal-gas","Ideal Gas Law","PV=nRT. Solves for Pressure, Volume, Moles, or Temperature with unit conversions.","P × V = n × R × T","Thermodynamics","Thermometer","[{""id"":""P"",""label"":""Pressure (P)"",""unit"":""Pa""},{""id"":""V"",""label"":""Volume (V)"",""unit"":""m³""},{""id"":""n"",""label"":""Moles (n)"",""unit"":""mol""},{""id"":""T"",""label"":""Temperature (T)"",""unit"":""K""}]",4
"heat-transfer","Heat Transfer (Specific Heat)","Q=mcΔT. Solves for Heat, Mass, Specific Heat, or ΔT.","Q = m × c × ΔT","Thermodynamics","Thermometer","[{""id"":""Q"",""label"":""Heat (Q)"",""unit"":""J""},{""id"":""m"",""label"":""Mass (m)"",""unit"":""kg""},{""id"":""c"",""label"":""Specific Heat (c)"",""unit"":""J/(kg·K)""},{""id"":""dT"",""label"":""Temp Change (ΔT)"",""unit"":""K""}]",4
"carnot","Carnot Efficiency","η=1−Tc/Th. Solves for Efficiency, Hot or Cold reservoir temperature.","η = 1 − T_cold / T_hot","Thermodynamics","Thermometer","[{""id"":""eta"",""label"":""Efficiency (η)"",""unit"":""""},{""id"":""Tc"",""label"":""Cold Temp (Tc)"",""unit"":""K""},{""id"":""Th"",""label"":""Hot Temp (Th)"",""unit"":""K""}]",3
"stefan-boltzmann","Stefan-Boltzmann Radiation","P=εσAT⁴. Solves for radiated power, emissivity, area, or temperature.","P = ε × σ × A × T⁴","Thermodynamics","Thermometer","[{""id"":""P"",""label"":""Power (P)"",""unit"":""W""},{""id"":""e"",""label"":""Emissivity (ε)"",""unit"":""""},{""id"":""A"",""label"":""Area (A)"",""unit"":""m²""},{""id"":""T"",""label"":""Temperature (T)"",""unit"":""K""}]",4
"wave-speed","Wave Equation","v=fλ. Solves for wave speed, frequency, or wavelength.","v = f × λ","Waves & Optics","Waves","[{""id"":""v"",""label"":""Wave Speed (v)"",""unit"":""m/s""},{""id"":""f"",""label"":""Frequency (f)"",""unit"":""Hz""},{""id"":""lambda"",""label"":""Wavelength (λ)"",""unit"":""m""}]",3
"doppler-effect","Doppler Effect","f'=f(v+v₀)/(v−vₛ). Full Doppler solver for moving source and observer.","f' = f × (v + v_observer) / (v − v_source)","Waves & Optics","Waves","[{""id"":""fp"",""label"":""Observed Freq (f')"",""unit"":""Hz""},{""id"":""f"",""label"":""Source Freq (f)"",""unit"":""Hz""},{""id"":""vw"",""label"":""Wave Speed (v)"",""unit"":""m/s""},{""id"":""vo"",""label"":""Observer Speed (v₀)"",""unit"":""m/s""},{""id"":""vs"",""label"":""Source Speed (vₛ)"",""unit"":""m/s""}]",5
"lens-equation","Thin Lens Equation","1/f=1/dₒ+1/dᵢ. Solves for focal length, object distance, or image distance with magnification.","1/f = 1/dₒ + 1/dᵢ","Waves & Optics","Waves","[{""id"":""f"",""label"":""Focal Length (f)"",""unit"":""m""},{""id"":""do"",""label"":""Object Distance (dₒ)"",""unit"":""m""},{""id"":""di"",""label"":""Image Distance (dᵢ)"",""unit"":""m""}]",3
"snells-law","Snell's Law (Refraction)","n₁sinθ₁=n₂sinθ₂. Solves for refractive indices or angles. Detects total internal reflection.","n₁ × sin(θ₁) = n₂ × sin(θ₂)","Waves & Optics","Waves","[{""id"":""n1"",""label"":""Index 1 (n₁)"",""unit"":""""},{""id"":""theta1"",""label"":""Angle 1 (θ₁)"",""unit"":""°""},{""id"":""n2"",""label"":""Index 2 (n₂)"",""unit"":""""},{""id"":""theta2"",""label"":""Angle 2 (θ₂)"",""unit"":""°""}]",4
"photoelectric","Photoelectric Effect","KE=hf−φ. Solves for KE, frequency, work function, or wavelength. Detects if emission occurs.","KE = hf − φ = hc/λ − φ","Waves & Optics","Waves","[{""id"":""KE"",""label"":""Kinetic Energy (KE)"",""unit"":""eV""},{""id"":""f"",""label"":""Frequency (f)"",""unit"":""Hz""},{""id"":""phi"",""label"":""Work Function (φ)"",""unit"":""eV""},{""id"":""lambda"",""label"":""Wavelength (λ)"",""unit"":""nm""}]",4
"de-broglie","de Broglie Wavelength","λ=h/p=h/(mv). Solves for wavelength, momentum, mass, or velocity.","λ = h / (m × v)","Modern Physics","Atom","[{""id"":""lambda"",""label"":""Wavelength (λ)"",""unit"":""m""},{""id"":""m"",""label"":""Mass (m)"",""unit"":""kg""},{""id"":""v"",""label"":""Velocity (v)"",""unit"":""m/s""}]",3
"compton","Compton Scattering","Δλ=(h/mc)(1−cosθ). Solves for wavelength shift, scattering angle, or incident/scattered wavelength.","Δλ = (h/mₑc)(1 − cosθ)","Modern Physics","Atom","[{""id"":""dL"",""label"":""Wavelength Shift (Δλ)"",""unit"":""pm""},{""id"":""theta"",""label"":""Scatter Angle (θ)"",""unit"":""°""}]",2
"einstein-mass-energy","Mass-Energy Equivalence","E=mc². Solves for Energy or Mass.","E = m × c²","Modern Physics","Atom","[{""id"":""E"",""label"":""Energy (E)"",""unit"":""J""},{""id"":""m"",""label"":""Mass (m)"",""unit"":""kg""}]",2
"radioactive-decay","Radioactive Decay","N=N₀e^(−λt). Solves for remaining nuclei, half-life, time, or decay constant.","N = N₀ × e^(−λt),  t½ = ln2/λ","Modern Physics","Atom","[{""id"":""N"",""label"":""Remaining (N)"",""unit"":""""},{""id"":""N0"",""label"":""Initial (N₀)"",""unit"":""""},{""id"":""halfLife"",""label"":""Half-life (t½)"",""unit"":""s""},{""id"":""t"",""label"":""Time (t)"",""unit"":""s""}]",4
"heisenberg","Heisenberg Uncertainty","ΔxΔp ≥ ℏ/2. Given one uncertainty, computes the minimum of the other.","Δx × Δp ≥ ℏ/2","Modern Physics","Atom","[{""id"":""dx"",""label"":""Position Uncertainty (Δx)"",""unit"":""m""},{""id"":""dp"",""label"":""Momentum Uncertainty (Δp)"",""unit"":""kg·m/s""}]",2
"quadratic","Quadratic Formula","ax²+bx+c=0. Finds roots including complex roots with full discriminant analysis.","x = [−b ± √(b²−4ac)] / 2a","Mathematics","Calculator","[{""id"":""a"",""label"":""Coefficient a"",""unit"":""""},{""id"":""b"",""label"":""Coefficient b"",""unit"":""""},{""id"":""c"",""label"":""Constant c"",""unit"":""""}]",3
"pythagorean","Pythagorean Theorem","a²+b²=c². Solves for any side of a right triangle.","a² + b² = c²","Mathematics","Calculator","[{""id"":""a"",""label"":""Side a"",""unit"":""""},{""id"":""b"",""label"":""Side b"",""unit"":""""},{""id"":""c"",""label"":""Hypotenuse c"",""unit"":""""}]",3
"distance-2d","2D Distance Formula","d=√((x₂−x₁)²+(y₂−y₁)²). Solves for distance or any coordinate.","d = √((x₂−x₁)² + (y₂−y₁)²)","Mathematics","Calculator","[{""id"":""d"",""label"":""Distance (d)"",""unit"":""""},{""id"":""x1"",""label"":""x₁"",""unit"":""""},{""id"":""y1"",""label"":""y₁"",""unit"":""""},{""id"":""x2"",""label"":""x₂"",""unit"":""""},{""id"":""y2"",""label"":""y₂"",""unit"":""""}]",5
"law-of-cosines","Law of Cosines","c²=a²+b²−2ab·cosC. Solves for any side or angle in any triangle.","c² = a² + b² − 2ab·cos(C)","Mathematics","Calculator","[{""id"":""a"",""label"":""Side a"",""unit"":""""},{""id"":""b"",""label"":""Side b"",""unit"":""""},{""id"":""c"",""label"":""Side c"",""unit"":""""},{""id"":""C"",""label"":""Angle C"",""unit"":""°""}]",4
"compound-interest","Compound Interest","A=P(1+r/n)^(nt). Solves for Amount, Principal, Rate, Time, or Compounds.","A = P(1 + r/n)^(nt)","Mathematics","Calculator","[{""id"":""A"",""label"":""Final Amount (A)"",""unit"":""$""},{""id"":""P"",""label"":""Principal (P)"",""unit"":""$""},{""id"":""r"",""label"":""Annual Rate (r)"",""unit"":""%""},{""id"":""n"",""label"":""Compounds/Year (n)"",""unit"":""""},{""id"":""t"",""label"":""Time (t)"",""unit"":""years""}]",5
"logarithmic","Logarithmic Equation","y=log_b(x). Solves for any variable. Handles natural and base-10 logs.","y = log_b(x)","Mathematics","Calculator","[{""id"":""y"",""label"":""Exponent (y)"",""unit"":""""},{""id"":""b"",""label"":""Base (b)"",""unit"":""""},{""id"":""x"",""label"":""Argument (x)"",""unit"":""""}]",3
"bernoulli","Bernoulli's Equation","P₁+½ρv₁²+ρgh₁ = P₂+½ρv₂²+ρgh₂. Solves for pressure, velocity, or height in fluid flow.","P + ½ρv² + ρgh = constant","Fluid Mechanics","Waves","[{""id"":""P1"",""label"":""Pressure 1 (P₁)"",""unit"":""Pa""},{""id"":""v1"",""label"":""Velocity 1 (v₁)"",""unit"":""m/s""},{""id"":""h1"",""label"":""Height 1 (h₁)"",""unit"":""m""},{""id"":""P2"",""label"":""Pressure 2 (P₂)"",""unit"":""Pa""},{""id"":""v2"",""label"":""Velocity 2 (v₂)"",""unit"":""m/s""},{""id"":""h2"",""label"":""Height 2 (h₂)"",""unit"":""m""}]",6
"archimedes","Buoyancy (Archimedes)","F_b = ρ_fluid × V_displaced × g. Solves for buoyant force, fluid density, or volume.","F_b = ρ × V × g","Fluid Mechanics","Waves","[{""id"":""Fb"",""label"":""Buoyant Force (F_b)"",""unit"":""N""},{""id"":""rho"",""label"":""Fluid Density (ρ)"",""unit"":""kg/m³""},{""id"":""V"",""label"":""Volume Displaced (V)"",""unit"":""m³""}]",3
"continuity","Continuity Equation","A₁v₁ = A₂v₂. Solves for cross-section area or velocity in pipe flow.","A₁ × v₁ = A₂ × v₂","Fluid Mechanics","Waves","[{""id"":""A1"",""label"":""Area 1 (A₁)"",""unit"":""m²""},{""id"":""v1"",""label"":""Velocity 1 (v₁)"",""unit"":""m/s""},{""id"":""A2"",""label"":""Area 2 (A₂)"",""unit"":""m²""},{""id"":""v2"",""label"":""Velocity 2 (v₂)"",""unit"":""m/s""}]",4
"poiseuille","Poiseuille's Law","Q = πr⁴ΔP/(8ηL). Solves for flow rate, radius, pressure, viscosity, or length.","Q = πr⁴ΔP / (8ηL)","Fluid Mechanics","Waves","[{""id"":""Q"",""label"":""Flow Rate (Q)"",""unit"":""m³/s""},{""id"":""r"",""label"":""Radius (r)"",""unit"":""m""},{""id"":""dP"",""label"":""Pressure Diff (ΔP)"",""unit"":""Pa""},{""id"":""eta"",""label"":""Viscosity (η)"",""unit"":""Pa·s""},{""id"":""L"",""label"":""Length (L)"",""unit"":""m""}]",5
"ph-calc","pH / pOH Calculator","pH=−log[H⁺], pOH=−log[OH⁻], pH+pOH=14. Solves for pH, pOH, [H⁺], or [OH⁻].","pH = −log₁₀[H⁺],  pH + pOH = 14","Chemistry","Atom","[{""id"":""pH"",""label"":""pH"",""unit"":""""},{""id"":""pOH"",""label"":""pOH"",""unit"":""""},{""id"":""H"",""label"":""[H⁺] (mol/L)"",""unit"":""M""},{""id"":""OH"",""label"":""[OH⁻] (mol/L)"",""unit"":""M""}]",4
"dilution","Dilution Equation (M₁V₁=M₂V₂)","M₁V₁=M₂V₂. Solves for any concentration or volume in dilution problems.","M₁ × V₁ = M₂ × V₂","Chemistry","Atom","[{""id"":""M1"",""label"":""Initial Conc (M₁)"",""unit"":""M""},{""id"":""V1"",""label"":""Initial Vol (V₁)"",""unit"":""L""},{""id"":""M2"",""label"":""Final Conc (M₂)"",""unit"":""M""},{""id"":""V2"",""label"":""Final Vol (V₂)"",""unit"":""L""}]",4
"beer-lambert","Beer-Lambert Law","A=εlc. Solves for absorbance, molar absorptivity, path length, or concentration.","A = ε × l × c","Chemistry","Atom","[{""id"":""A"",""label"":""Absorbance (A)"",""unit"":""""},{""id"":""epsilon"",""label"":""Molar Absorptivity (ε)"",""unit"":""L/(mol·cm)""},{""id"":""l"",""label"":""Path Length (l)"",""unit"":""cm""},{""id"":""c"",""label"":""Concentration (c)"",""unit"":""mol/L""}]",4
"nernst","Nernst Equation","E=E°−(RT/nF)ln(Q). Solves for cell potential, standard potential, temperature, or reaction quotient.","E = E° − (RT/nF) × ln(Q)","Chemistry","Atom","[{""id"":""E"",""label"":""Cell Potential (E)"",""unit"":""V""},{""id"":""E0"",""label"":""Standard Potential (E°)"",""unit"":""V""},{""id"":""n"",""label"":""Electrons Transferred (n)"",""unit"":""""},{""id"":""Q"",""label"":""Reaction Quotient (Q)"",""unit"":""""},{""id"":""T"",""label"":""Temperature (T)"",""unit"":""K""}]",5
"ideal-gas-molar","Molar Mass from Gas Law","M = mRT/(PV). Solves for molar mass, mass, pressure, volume, or temperature.","M = mRT / (PV)","Chemistry","Atom","[{""id"":""M"",""label"":""Molar Mass (M)"",""unit"":""g/mol""},{""id"":""m"",""label"":""Mass (m)"",""unit"":""g""},{""id"":""P"",""label"":""Pressure (P)"",""unit"":""atm""},{""id"":""V"",""label"":""Volume (V)"",""unit"":""L""},{""id"":""T"",""label"":""Temperature (T)"",""unit"":""K""}]",5
"circle","Circle Area & Circumference","A=πr², C=2πr. Solves for Area, Circumference, Radius, or Diameter.","A = πr²,  C = 2πr","Geometry","Calculator","[{""id"":""A"",""label"":""Area (A)"",""unit"":""m²""},{""id"":""C"",""label"":""Circumference (C)"",""unit"":""m""},{""id"":""r"",""label"":""Radius (r)"",""unit"":""m""}]",3
"sphere","Sphere Volume & Surface","V=4/3πr³, A=4πr². Solves for Volume, Surface Area, or Radius.","V = (4/3)πr³,  A = 4πr²","Geometry","Calculator","[{""id"":""V"",""label"":""Volume (V)"",""unit"":""m³""},{""id"":""SA"",""label"":""Surface Area (A)"",""unit"":""m²""},{""id"":""r"",""label"":""Radius (r)"",""unit"":""m""}]",3
"cylinder","Cylinder Volume & Surface","V=πr²h. Solves for Volume, Radius, or Height of a cylinder.","V = πr²h","Geometry","Calculator","[{""id"":""V"",""label"":""Volume (V)"",""unit"":""m³""},{""id"":""r"",""label"":""Radius (r)"",""unit"":""m""},{""id"":""h"",""label"":""Height (h)"",""unit"":""m""}]",3
"triangle-area","Triangle Area (Heron's)","A=√(s(s−a)(s−b)(s−c)) where s=(a+b+c)/2. Solves for area from 3 sides.","A = √(s(s−a)(s−b)(s−c)),  s = (a+b+c)/2","Geometry","Calculator","[{""id"":""a"",""label"":""Side a"",""unit"":""""},{""id"":""b"",""label"":""Side b"",""unit"":""""},{""id"":""c"",""label"":""Side c"",""unit"":""""}]",3
"trig-ratios","Trigonometric Ratios","sin, cos, tan from angle. Also finds angle from ratio. Full SOH-CAH-TOA solver.","sin(θ)=opp/hyp, cos(θ)=adj/hyp, tan(θ)=opp/adj","Geometry","Calculator","[{""id"":""theta"",""label"":""Angle (θ)"",""unit"":""°""},{""id"":""opp"",""label"":""Opposite"",""unit"":""""},{""id"":""adj"",""label"":""Adjacent"",""unit"":""""},{""id"":""hyp"",""label"":""Hypotenuse"",""unit"":""""}]",4
"voltage-divider","Voltage Divider","V_out = V_in × R₂/(R₁+R₂). Solves for output voltage, input, or either resistor.","V_out = V_in × R₂ / (R₁ + R₂)","Electronics","Zap","[{""id"":""Vin"",""label"":""Input Voltage (V_in)"",""unit"":""V""},{""id"":""R1"",""label"":""Resistor R₁"",""unit"":""Ω""},{""id"":""R2"",""label"":""Resistor R₂"",""unit"":""Ω""},{""id"":""Vout"",""label"":""Output Voltage (V_out)"",""unit"":""V""}]",4
"parallel-resistance","Parallel Resistance","1/R_total = 1/R₁ + 1/R₂ + 1/R₃. Solves for total or any individual resistance.","1/R_t = 1/R₁ + 1/R₂ + 1/R₃","Electronics","Zap","[{""id"":""Rt"",""label"":""Total Resistance (R_t)"",""unit"":""Ω""},{""id"":""R1"",""label"":""Resistor 1 (R₁)"",""unit"":""Ω""},{""id"":""R2"",""label"":""Resistor 2 (R₂)"",""unit"":""Ω""},{""id"":""R3"",""label"":""Resistor 3 (R₃)"",""unit"":""Ω""}]",4
"rl-discharge","RL Circuit (Inductor)","I(t)=I₀e^(−Rt/L), τ=L/R. Solves for current, time constant, or time.","I(t) = I₀ × e^(−Rt/L),  τ = L/R","Electronics","Zap","[{""id"":""It"",""label"":""Current at t (I(t))"",""unit"":""A""},{""id"":""I0"",""label"":""Initial Current (I₀)"",""unit"":""A""},{""id"":""R"",""label"":""Resistance (R)"",""unit"":""Ω""},{""id"":""L"",""label"":""Inductance (L)"",""unit"":""H""},{""id"":""t"",""label"":""Time (t)"",""unit"":""s""}]",5
"transformer","Transformer Equation","V_s/V_p = N_s/N_p. Solves for voltages or turns ratio in transformers.","V_s / V_p = N_s / N_p","Electronics","Zap","[{""id"":""Vs"",""label"":""Secondary Voltage (V_s)"",""unit"":""V""},{""id"":""Vp"",""label"":""Primary Voltage (V_p)"",""unit"":""V""},{""id"":""Ns"",""label"":""Secondary Turns (N_s)"",""unit"":""""},{""id"":""Np"",""label"":""Primary Turns (N_p)"",""unit"":""""}]",4
"mean-std","Mean & Standard Deviation","Computes mean, sample and population standard deviation from a list of numbers.","μ = Σx/n,  σ = √(Σ(x−μ)²/n)","Statistics","Calculator","[{""id"":""data"",""label"":""Data (comma-separated)"",""unit"":""""}]",1
"linear-regression","Linear Regression (y=mx+b)","Fits y=mx+b to data points. Computes slope, intercept, and R² correlation.","y = mx + b,  m = (nΣxy−ΣxΣy)/(nΣx²−(Σx)²)","Statistics","Calculator","[{""id"":""xdata"",""label"":""X values (comma-sep)"",""unit"":""""},{""id"":""ydata"",""label"":""Y values (comma-sep)"",""unit"":""""}]",2
"permutation-combination","Permutations & Combinations","nPr = n!/(n−r)!, nCr = n!/(r!(n−r)!). Solves for P, C, n, or r.","nPr = n!/(n−r)!,  nCr = n!/(r!(n−r)!)","Statistics","Calculator","[{""id"":""n"",""label"":""Total items (n)"",""unit"":""""},{""id"":""r"",""label"":""Choosing (r)"",""unit"":""""}]",2
"centripetal-force","Centripetal Force","F=mv²/r. Solves for force, mass, velocity, or radius. Also computes period and frequency.","F = mv²/r = mω²r","Advanced Mechanics","Cog","[{""id"":""F"",""label"":""Centripetal Force"",""unit"":""N""},{""id"":""m"",""label"":""Mass"",""unit"":""kg""},{""id"":""v"",""label"":""Tangential Velocity"",""unit"":""m/s""},{""id"":""r"",""label"":""Radius"",""unit"":""m""}]",4
"torque","Torque","τ=rFsinθ. Solves for torque, lever arm, force, or angle. Computes power at given RPM.","τ = rF sin(θ)","Advanced Mechanics","Cog","[{""id"":""tau"",""label"":""Torque"",""unit"":""N·m""},{""id"":""r"",""label"":""Lever Arm"",""unit"":""m""},{""id"":""F"",""label"":""Force"",""unit"":""N""},{""id"":""theta"",""label"":""Angle between r and F"",""unit"":""°""}]",4
"angular-momentum","Angular Momentum","L=Iω. Solves for angular momentum, moment of inertia, or angular velocity.","L = Iω = mvr (point mass)","Advanced Mechanics","Cog","[{""id"":""L"",""label"":""Angular Momentum"",""unit"":""kg·m²/s""},{""id"":""I"",""label"":""Moment of Inertia"",""unit"":""kg·m²""},{""id"":""omega"",""label"":""Angular Velocity"",""unit"":""rad/s""}]",3
"rocket-equation","Tsiolkovsky Rocket Equation","Δv=ve·ln(m₀/mf). Solves for delta-v, exhaust velocity, initial mass, or final mass.","Δv = vₑ × ln(m₀/mf)","Advanced Mechanics","Cog","[{""id"":""dv"",""label"":""Delta-v (Δv)"",""unit"":""m/s""},{""id"":""ve"",""label"":""Exhaust Velocity"",""unit"":""m/s""},{""id"":""m0"",""label"":""Initial Mass (m₀)"",""unit"":""kg""},{""id"":""mf"",""label"":""Final Mass (mf)"",""unit"":""kg""}]",4
"pendulum-period","Simple Pendulum","T=2π√(L/g). Solves for period, length, or gravity. Also computes frequency and max speed.","T = 2π√(L/g)","Advanced Mechanics","Cog","[{""id"":""T"",""label"":""Period"",""unit"":""s""},{""id"":""L"",""label"":""Length"",""unit"":""m""},{""id"":""g"",""label"":""Gravity"",""unit"":""m/s²""}]",3
"conical-pendulum","Conical Pendulum","T=2π√(Lcosθ/g). Solves for period, length, angle, or gravity. Computes tension and speed.","T = 2π√(Lcosθ/g)","Advanced Mechanics","Cog","[{""id"":""T"",""label"":""Period"",""unit"":""s""},{""id"":""L"",""label"":""String Length"",""unit"":""m""},{""id"":""theta"",""label"":""Angle from Vertical"",""unit"":""°""},{""id"":""g"",""label"":""Gravity"",""unit"":""m/s²""}]",4
"banked-curve","Banked Curve (No Friction)","v=√(rg·tanθ). Solves for optimal speed, radius, angle, or gravity for a banked turn.","v = √(rg × tan(θ))","Advanced Mechanics","Cog","[{""id"":""v"",""label"":""Optimal Speed"",""unit"":""m/s""},{""id"":""r"",""label"":""Curve Radius"",""unit"":""m""},{""id"":""theta"",""label"":""Bank Angle"",""unit"":""°""},{""id"":""g"",""label"":""Gravity"",""unit"":""m/s²""}]",4
"moment-of-inertia","Moment of Inertia","I=kmr² for common shapes. Computes I for solid cylinder, sphere, rod, ring, and hollow sphere.","I = kmr² (k depends on shape)","Advanced Mechanics","Cog","[{""id"":""I"",""label"":""Moment of Inertia"",""unit"":""kg·m²""},{""id"":""m"",""label"":""Mass"",""unit"":""kg""},{""id"":""r"",""label"":""Radius / Length"",""unit"":""m""},{""id"":""k"",""label"":""Shape Factor (k)"",""unit"":""""}]",4
"terminal-velocity","Terminal Velocity","vt=√(2mg/(ρACd)). Solves for terminal velocity, mass, drag coefficient, area, or air density.","v_t = √(2mg / (ρAC_d))","Advanced Mechanics","Cog","[{""id"":""vt"",""label"":""Terminal Velocity"",""unit"":""m/s""},{""id"":""m"",""label"":""Mass"",""unit"":""kg""},{""id"":""rho"",""label"":""Fluid Density"",""unit"":""kg/m³""},{""id"":""A"",""label"":""Cross-section Area"",""unit"":""m²""},{""id"":""Cd"",""label"":""Drag Coefficient"",""unit"":""""}]",5
